Var1,Var2,Var3,Var4,Var5,Var6,Var7,Var8,Var9,Var10,Var11,Var12,Var13,Var14,Var15,Var16
65.68,23.37109375,0,0,77,2,63,75,50,0.12,0.02,0.55,0.25,0.06,1,4.93384381600117
49.63,60.31640625,0,0,22,20,76,17,9,0.12,0.02,0.55,0.25,0.06,1,3.05218265599979
27.79,24.12109375,0,0,69,95,0,51,81,0.12,0.02,0.55,0.25,0.06,1,2.59195971200097
51.97,84.9091796875,0,0,61,72,29,92,71,0.12,0.02,0.55,0.25,0.06,1,3.51927808700202
46.5,37.75390625,0,0,54,14,37,67,44,0.12,0.02,0.55,0.25,0.06,1,1.8799875170007
54.3,55.3623046875,0,0,43,62,51,65,60,0.12,0.02,0.55,0.25,0.06,1,1.10758315900239
69.35,30.26953125,0,0,81,52,91,32,9,0.12,0.02,0.55,0.25,0.06,1,2.27965824100102
54.5,15.5625,0,0,30,11,83,5,63,0.12,0.02,0.55,0.25,0.06,1,1.92283730700001
42.84,54.50390625,0,0,55,82,20,86,35,0.12,0.02,0.55,0.25,0.06,1,2.90139298299982
67.27,47.8017578125,0,0,75,30,88,33,17,0.12,0.02,0.55,0.25,0.06,1,1.26339351800198
55.99,49.626953125,17.9755817233276,17.9755817233276,39,9,82,15,38,0.12,0.02,0.55,0.25,0.06,0,1.81307560200003
60.81,68.4521484375,35.0554600862884,17.0798783629608,94,99,46,83,25,0.12,0.02,0.55,0.25,0.06,0,2.16084932800004
53.14,39.4599609375,45.6982866487121,10.6428265624237,60,90,53,59,4,0.12,0.02,0.55,0.25,0.06,0,1.21709222899881
34.4,60.576171875,45.6982866487121,0,36,8,31,33,77,0.12,0.02,0.55,0.25,0.06,0,0.606929871999455
36.49,68.6474609375,45.6982866487121,0,4,43,31,64,35,0.12,0.02,0.55,0.25,0.06,0,0.653719280999212
68.56,39.19921875,45.6982866487121,0,4,88,76,88,42,0.12,0.02,0.55,0.25,0.06,0,0.682502045001456
49.64,54.6455078125,64.4455312256622,18.7472445769501,61,51,60,26,30,0.12,0.02,0.55,0.25,0.06,0,0.581986306002364
31.58,62.8251953125,64.4455312256622,0,3,30,24,56,57,0.12,0.02,0.55,0.25,0.06,0,2.29377068100075
36.18,76.21875,64.4455312256622,0,48,29,6,98,34,0.12,0.02,0.55,0.25,0.06,0,1.08764317500027
43.28,34.0068359375,80.1459526391601,15.7004214134979,50,98,44,32,52,0.12,0.02,0.55,0.25,0.06,0,0.722475607999513
28.69,47.5302734375,80.1459526391601,0,58,85,7,46,78,0.12,0.02,0.55,0.25,0.06,1,1.5832571610008
24.13,49.4423828125,80.1459526391601,0,72,59,4,35,56,0.12,0.02,0.55,0.25,0.06,1,2.04702112000086
45.77,53.4189453125,80.1459526391601,0,30,51,67,16,5,0.12,0.02,0.55,0.25,0.06,1,1.95610682800179
38.67,27.4013671875,80.1459526391601,0,34,11,18,89,37,0.12,0.02,0.55,0.25,0.06,1,4.02919876400119
31.51,22.98046875,80.1459526391601,0,22,75,11,74,47,0.12,0.02,0.55,0.25,0.06,1,1.96117607600172
33.95,30.1826171875,80.1459526391601,0,60,15,18,65,5,0.12,0.02,0.55,0.25,0.06,1,1.64225311500195
31.75,30.1826171875,80.1459526391601,0,25,54,23,38,92,0.12,0.02,0.55,0.25,0.06,1,1.04027812600179
47.58,52.2236328125,80.1459526391601,0,93,57,53,1,98,0.12,0.02,0.55,0.25,0.06,1,1.20852471500257
64.7,49.3662109375,80.1459526391601,0,57,79,56,88,58,0.12,0.02,0.55,0.25,0.06,1,0.742954457997257
50.32,46.5087890625,80.1459526391601,0,71,15,43,69,10,0.12,0.02,0.55,0.25,0.06,1,1.52248589200099
54.71,44.021484375,94.4337343258667,14.2877816867065,44,17,51,82,9,0.12,0.02,0.55,0.25,0.06,0,1.744178697998
50.83,54.75390625,113.663882312927,19.2301479870605,80,57,59,20,44,0.12,0.02,0.55,0.25,0.06,0,2.25681148200238
21.02,19.146484375,133.488379273071,19.824496960144,30,4,3,45,74,0.12,0.02,0.55,0.25,0.06,0,1.05175312599749
41.45,25.740234375,141.14854247345,7.66016320037841,56,39,17,84,60,0.12,0.02,0.55,0.25,0.06,0,1.17615299599856
67.28,57.7197265625,156.578601063461,15.4300585900116,78,85,60,78,62,0.12,0.02,0.55,0.25,0.06,0,1.55177919700145
26.2,13.171875,168.09199901268,11.5133979492188,2,75,18,46,51,0.12,0.02,0.55,0.25,0.06,0,1.54363660699892
22.14,22.6435546875,188.079320646515,19.9873216338348,48,84,17,1,85,0.12,0.02,0.55,0.25,0.06,0,1.24020525499873
