"rt","url","experiment_phase","trial_type","trial_index","time_elapsed","internal_node_id","experiment_name","workerId","assignmentId","hitId","experiment_start_time","experiment_end_time","total_time","ip_address","version_date","anon_id","demo_mode","completion_code","page_rt","gem_values","response","correct_answer","gem_colors","gem_color_names","phase","gem_weights"
"4345","src/html/instructions.html","instructions","render-mustache-template","0","4486","0.0-0.0","wizard_gems","","","","2019-08-14T19:00:36Z","2019-08-14T19:10:11Z","575244","216.165.95.137","2019-08-10","5jf57tmn5kvcef1","false","0220777471-exa-3020622231-mple","","","","","","","",""
"6468","","","wizard-gem-trial","1","13465","0.0-1.0","wizard_gems","","","","2019-08-14T19:00:36Z","2019-08-14T19:10:11Z","575244","216.165.95.137","2019-08-10","5jf57tmn5kvcef1","false","0220777471-exa-3020622231-mple","8471","[75,50,88,5,48]","76","62","[""#FF4100"",""#38A600"",""#6F9CA4"",""#005BA8"",""#DA7100""]","[""red"",""green"",""grey"",""blue"",""orange""]","learning","[0,0.3333333333333333,0.3333333333333333,0,0.3333333333333333]"
"4246","","","wizard-gem-trial","2","20217","0.0-2.0","wizard_gems","","","","2019-08-14T19:00:36Z","2019-08-14T19:10:11Z","575244","216.165.95.137","2019-08-10","5jf57tmn5kvcef1","false","0220777471-exa-3020622231-mple","6247","[75,44,55,56,88]","56","62.33333333333333","[""#FF4100"",""#38A600"",""#6F9CA4"",""#005BA8"",""#DA7100""]","[""red"",""green"",""grey"",""blue"",""orange""]","learning","[0,0.3333333333333333,0.3333333333333333,0,0.3333333333333333]"
"4861","","","wizard-gem-trial","3","27584","0.0-3.0","wizard_gems","","","","2019-08-14T19:00:36Z","2019-08-14T19:10:11Z","575244","216.165.95.137","2019-08-10","5jf57tmn5kvcef1","false","0220777471-exa-3020622231-mple","6863","[73,47,78,98,13]","69","46","[""#FF4100"",""#38A600"",""#6F9CA4"",""#005BA8"",""#DA7100""]","[""red"",""green"",""grey"",""blue"",""orange""]","learning","[0,0.3333333333333333,0.3333333333333333,0,0.3333333333333333]"
"2214","","","wizard-gem-trial","4","32303","0.0-4.0","wizard_gems","","","","2019-08-14T19:00:36Z","2019-08-14T19:10:11Z","575244","216.165.95.137","2019-08-10","5jf57tmn5kvcef1","false","0220777471-exa-3020622231-mple","4214.999999999996","[0,24,87,47,22]","22","44.333333333333336","[""#FF4100"",""#38A600"",""#6F9CA4"",""#005BA8"",""#DA7100""]","[""red"",""green"",""grey"",""blue"",""orange""]","learning","[0,0.3333333333333333,0.3333333333333333,0,0.3333333333333333]"
"4944","","","wizard-gem-trial","5","39756","0.0-5.0","wizard_gems","","","","2019-08-14T19:00:36Z","2019-08-14T19:10:11Z","575244","216.165.95.137","2019-08-10","5jf57tmn5kvcef1","false","0220777471-exa-3020622231-mple","6946","[35,26,35,69,63]","46","41.33333333333333","[""#FF4100"",""#38A600"",""#6F9CA4"",""#005BA8"",""#DA7100""]","[""red"",""green"",""grey"",""blue"",""orange""]","learning","[0,0.3333333333333333,0.3333333333333333,0,0.3333333333333333]"
"2807","","","wizard-gem-trial","6","45068","0.0-6.0","wizard_gems","","","","2019-08-14T19:00:36Z","2019-08-14T19:10:11Z","575244","216.165.95.137","2019-08-10","5jf57tmn5kvcef1","false","0220777471-exa-3020622231-mple","4808","[28,47,50,99,26]","41","40.99999999999999","[""#FF4100"",""#38A600"",""#6F9CA4"",""#005BA8"",""#DA7100""]","[""red"",""green"",""grey"",""blue"",""orange""]","learning","[0,0.3333333333333333,0.3333333333333333,0,0.3333333333333333]"
"2318","","","wizard-gem-trial","7","49892","0.0-7.0","wizard_gems","","","","2019-08-14T19:00:36Z","2019-08-14T19:10:11Z","575244","216.165.95.137","2019-08-10","5jf57tmn5kvcef1","false","0220777471-exa-3020622231-mple","4320.000000000007","[28,14,36,59,9]","31","19.666666666666664","[""#FF4100"",""#38A600"",""#6F9CA4"",""#005BA8"",""#DA7100""]","[""red"",""green"",""grey"",""blue"",""orange""]","learning","[0,0.3333333333333333,0.3333333333333333,0,0.3333333333333333]"
"3586","","","wizard-gem-trial","8","55981","0.0-8.0","wizard_gems","","","","2019-08-14T19:00:36Z","2019-08-14T19:10:11Z","575244","216.165.95.137","2019-08-10","5jf57tmn5kvcef1","false","0220777471-exa-3020622231-mple","5587","[40,42,54,1,23]","32","39.666666666666664","[""#FF4100"",""#38A600"",""#6F9CA4"",""#005BA8"",""#DA7100""]","[""red"",""green"",""grey"",""blue"",""orange""]","learning","[0,0.3333333333333333,0.3333333333333333,0,0.3333333333333333]"
"3122","","","wizard-gem-trial","9","61608","0.0-9.0","wizard_gems","","","","2019-08-14T19:00:36Z","2019-08-14T19:10:11Z","575244","216.165.95.137","2019-08-10","5jf57tmn5kvcef1","false","0220777471-exa-3020622231-mple","5123","[55,73,85,79,22]","47","60","[""#FF4100"",""#38A600"",""#6F9CA4"",""#005BA8"",""#DA7100""]","[""red"",""green"",""grey"",""blue"",""orange""]","learning","[0,0.3333333333333333,0.3333333333333333,0,0.3333333333333333]"
"2490","","","wizard-gem-trial","10","66602","0.0-10.0","wizard_gems","","","","2019-08-14T19:00:36Z","2019-08-14T19:10:11Z","575244","216.165.95.137","2019-08-10","5jf57tmn5kvcef1","false","0220777471-exa-3020622231-mple","4492","[33,10,47,3,70]","10","42.33333333333333","[""#FF4100"",""#38A600"",""#6F9CA4"",""#005BA8"",""#DA7100""]","[""red"",""green"",""grey"",""blue"",""orange""]","learning","[0,0.3333333333333333,0.3333333333333333,0,0.3333333333333333]"
"2465","","","wizard-gem-trial","11","71572","0.0-11.0","wizard_gems","","","","2019-08-14T19:00:36Z","2019-08-14T19:10:11Z","575244","216.165.95.137","2019-08-10","5jf57tmn5kvcef1","false","0220777471-exa-3020622231-mple","4466","[51,92,4,17,35]","66","43.666666666666664","[""#FF4100"",""#38A600"",""#6F9CA4"",""#005BA8"",""#DA7100""]","[""red"",""green"",""grey"",""blue"",""orange""]","learning","[0,0.3333333333333333,0.3333333333333333,0,0.3333333333333333]"
"2641","","","wizard-gem-trial","12","76720","0.0-12.0","wizard_gems","","","","2019-08-14T19:00:36Z","2019-08-14T19:10:11Z","575244","216.165.95.137","2019-08-10","5jf57tmn5kvcef1","false","0220777471-exa-3020622231-mple","4642","[70,25,62,73,27]","36","38","[""#FF4100"",""#38A600"",""#6F9CA4"",""#005BA8"",""#DA7100""]","[""red"",""green"",""grey"",""blue"",""orange""]","learning","[0,0.3333333333333333,0.3333333333333333,0,0.3333333333333333]"
"16672","","","wizard-gem-trial","13","95897","0.0-13.0","wizard_gems","","","","2019-08-14T19:00:36Z","2019-08-14T19:10:11Z","575244","216.165.95.137","2019-08-10","5jf57tmn5kvcef1","false","0220777471-exa-3020622231-mple","18674.000000000015","[73,52,42,10,98]","68","64","[""#FF4100"",""#38A600"",""#6F9CA4"",""#005BA8"",""#DA7100""]","[""red"",""green"",""grey"",""blue"",""orange""]","learning","[0,0.3333333333333333,0.3333333333333333,0,0.3333333333333333]"
"4682.999999999985","","","wizard-gem-trial","14","103086","0.0-14.0","wizard_gems","","","","2019-08-14T19:00:36Z","2019-08-14T19:10:11Z","575244","216.165.95.137","2019-08-10","5jf57tmn5kvcef1","false","0220777471-exa-3020622231-mple","6684.999999999985","[40,20,84,33,60]","62","54.666666666666664","[""#FF4100"",""#38A600"",""#6F9CA4"",""#005BA8"",""#DA7100""]","[""red"",""green"",""grey"",""blue"",""orange""]","learning","[0,0.3333333333333333,0.3333333333333333,0,0.3333333333333333]"
"4267","","","wizard-gem-trial","15","109856","0.0-15.0","wizard_gems","","","","2019-08-14T19:00:36Z","2019-08-14T19:10:11Z","575244","216.165.95.137","2019-08-10","5jf57tmn5kvcef1","false","0220777471-exa-3020622231-mple","6268","[3,98,60,92,7]","55","55","[""#FF4100"",""#38A600"",""#6F9CA4"",""#005BA8"",""#DA7100""]","[""red"",""green"",""grey"",""blue"",""orange""]","learning","[0,0.3333333333333333,0.3333333333333333,0,0.3333333333333333]"
"2113","","","wizard-gem-trial","16","114478","0.0-16.0","wizard_gems","","","","2019-08-14T19:00:36Z","2019-08-14T19:10:11Z","575244","216.165.95.137","2019-08-10","5jf57tmn5kvcef1","false","0220777471-exa-3020622231-mple","4116","[51,6,11,39,83]","51","33.33333333333333","[""#FF4100"",""#38A600"",""#6F9CA4"",""#005BA8"",""#DA7100""]","[""red"",""green"",""grey"",""blue"",""orange""]","learning","[0,0.3333333333333333,0.3333333333333333,0,0.3333333333333333]"
"1849","","","wizard-gem-trial","17","118832","0.0-17.0","wizard_gems","","","","2019-08-14T19:00:36Z","2019-08-14T19:10:11Z","575244","216.165.95.137","2019-08-10","5jf57tmn5kvcef1","false","0220777471-exa-3020622231-mple","3850","[49,47,42,5,55]","49","48","[""#FF4100"",""#38A600"",""#6F9CA4"",""#005BA8"",""#DA7100""]","[""red"",""green"",""grey"",""blue"",""orange""]","learning","[0,0.3333333333333333,0.3333333333333333,0,0.3333333333333333]"
"1840","","","wizard-gem-trial","18","123177","0.0-18.0","wizard_gems","","","","2019-08-14T19:00:36Z","2019-08-14T19:10:11Z","575244","216.165.95.137","2019-08-10","5jf57tmn5kvcef1","false","0220777471-exa-3020622231-mple","3841","[14,60,80,24,76]","67","72","[""#FF4100"",""#38A600"",""#6F9CA4"",""#005BA8"",""#DA7100""]","[""red"",""green"",""grey"",""blue"",""orange""]","learning","[0,0.3333333333333333,0.3333333333333333,0,0.3333333333333333]"
"1807","","","wizard-gem-trial","19","127492","0.0-19.0","wizard_gems","","","","2019-08-14T19:00:36Z","2019-08-14T19:10:11Z","575244","216.165.95.137","2019-08-10","5jf57tmn5kvcef1","false","0220777471-exa-3020622231-mple","3810","[48,93,92,38,74]","84","86.33333333333333","[""#FF4100"",""#38A600"",""#6F9CA4"",""#005BA8"",""#DA7100""]","[""red"",""green"",""grey"",""blue"",""orange""]","learning","[0,0.3333333333333333,0.3333333333333333,0,0.3333333333333333]"
"1968.0000000000146","","","wizard-gem-trial","20","131965","0.0-20.0","wizard_gems","","","","2019-08-14T19:00:36Z","2019-08-14T19:10:11Z","575244","216.165.95.137","2019-08-10","5jf57tmn5kvcef1","false","0220777471-exa-3020622231-mple","3969.0000000000146","[78,81,82,1,40]","85","67.66666666666666","[""#FF4100"",""#38A600"",""#6F9CA4"",""#005BA8"",""#DA7100""]","[""red"",""green"",""grey"",""blue"",""orange""]","learning","[0,0.3333333333333333,0.3333333333333333,0,0.3333333333333333]"
"3843","","","wizard-gem-trial","21","138313","0.0-21.0","wizard_gems","","","","2019-08-14T19:00:36Z","2019-08-14T19:10:11Z","575244","216.165.95.137","2019-08-10","5jf57tmn5kvcef1","false","0220777471-exa-3020622231-mple","5844","[74,55,23,19,24]","44","34","[""#FF4100"",""#38A600"",""#6F9CA4"",""#005BA8"",""#DA7100""]","[""red"",""green"",""grey"",""blue"",""orange""]","learning","[0,0.3333333333333333,0.3333333333333333,0,0.3333333333333333]"
"1816","","","wizard-gem-trial","22","142633","0.0-22.0","wizard_gems","","","","2019-08-14T19:00:36Z","2019-08-14T19:10:11Z","575244","216.165.95.137","2019-08-10","5jf57tmn5kvcef1","false","0220777471-exa-3020622231-mple","3818","[42,70,96,17,52]","76","72.66666666666666","[""#FF4100"",""#38A600"",""#6F9CA4"",""#005BA8"",""#DA7100""]","[""red"",""green"",""grey"",""blue"",""orange""]","learning","[0,0.3333333333333333,0.3333333333333333,0,0.3333333333333333]"
"2433","","","wizard-gem-trial","23","147572","0.0-23.0","wizard_gems","","","","2019-08-14T19:00:36Z","2019-08-14T19:10:11Z","575244","216.165.95.137","2019-08-10","5jf57tmn5kvcef1","false","0220777471-exa-3020622231-mple","4436","[73,9,14,79,31]","32","18","[""#FF4100"",""#38A600"",""#6F9CA4"",""#005BA8"",""#DA7100""]","[""red"",""green"",""grey"",""blue"",""orange""]","learning","[0,0.3333333333333333,0.3333333333333333,0,0.3333333333333333]"
"2670.000000000029","","","wizard-gem-trial","24","152747","0.0-24.0","wizard_gems","","","","2019-08-14T19:00:36Z","2019-08-14T19:10:11Z","575244","216.165.95.137","2019-08-10","5jf57tmn5kvcef1","false","0220777471-exa-3020622231-mple","4671","[49,94,64,74,48]","74","68.66666666666666","[""#FF4100"",""#38A600"",""#6F9CA4"",""#005BA8"",""#DA7100""]","[""red"",""green"",""grey"",""blue"",""orange""]","learning","[0,0.3333333333333333,0.3333333333333333,0,0.3333333333333333]"
"3016","","","wizard-gem-trial","25","158267","0.0-25.0","wizard_gems","","","","2019-08-14T19:00:36Z","2019-08-14T19:10:11Z","575244","216.165.95.137","2019-08-10","5jf57tmn5kvcef1","false","0220777471-exa-3020622231-mple","5017","[61,60,21,80,88]","37","56.33333333333333","[""#FF4100"",""#38A600"",""#6F9CA4"",""#005BA8"",""#DA7100""]","[""red"",""green"",""grey"",""blue"",""orange""]","learning","[0,0.3333333333333333,0.3333333333333333,0,0.3333333333333333]"
"2246","","","wizard-gem-trial","26","163018","0.0-26.0","wizard_gems","","","","2019-08-14T19:00:36Z","2019-08-14T19:10:11Z","575244","216.165.95.137","2019-08-10","5jf57tmn5kvcef1","false","0220777471-exa-3020622231-mple","4247","[74,13,88,7,30]","26","43.666666666666664","[""#FF4100"",""#38A600"",""#6F9CA4"",""#005BA8"",""#DA7100""]","[""red"",""green"",""grey"",""blue"",""orange""]","learning","[0,0.3333333333333333,0.3333333333333333,0,0.3333333333333333]"
"2360","","","wizard-gem-trial","27","167882","0.0-27.0","wizard_gems","","","","2019-08-14T19:00:36Z","2019-08-14T19:10:11Z","575244","216.165.95.137","2019-08-10","5jf57tmn5kvcef1","false","0220777471-exa-3020622231-mple","4361","[52,65,2,41,84]","64","50.33333333333333","[""#FF4100"",""#38A600"",""#6F9CA4"",""#005BA8"",""#DA7100""]","[""red"",""green"",""grey"",""blue"",""orange""]","learning","[0,0.3333333333333333,0.3333333333333333,0,0.3333333333333333]"
"4250","","","wizard-gem-trial","28","174637","0.0-28.0","wizard_gems","","","","2019-08-14T19:00:36Z","2019-08-14T19:10:11Z","575244","216.165.95.137","2019-08-10","5jf57tmn5kvcef1","false","0220777471-exa-3020622231-mple","6252","[23,7,90,13,55]","69","50.66666666666667","[""#FF4100"",""#38A600"",""#6F9CA4"",""#005BA8"",""#DA7100""]","[""red"",""green"",""grey"",""blue"",""orange""]","learning","[0,0.3333333333333333,0.3333333333333333,0,0.3333333333333333]"
"2675.999999999971","","","wizard-gem-trial","29","179817","0.0-29.0","wizard_gems","","","","2019-08-14T19:00:36Z","2019-08-14T19:10:11Z","575244","216.165.95.137","2019-08-10","5jf57tmn5kvcef1","false","0220777471-exa-3020622231-mple","4676.999999999971","[81,80,87,85,72]","87","79.66666666666666","[""#FF4100"",""#38A600"",""#6F9CA4"",""#005BA8"",""#DA7100""]","[""red"",""green"",""grey"",""blue"",""orange""]","learning","[0,0.3333333333333333,0.3333333333333333,0,0.3333333333333333]"
"2441","","","wizard-gem-trial","30","184764","0.0-30.0","wizard_gems","","","","2019-08-14T19:00:36Z","2019-08-14T19:10:11Z","575244","216.165.95.137","2019-08-10","5jf57tmn5kvcef1","false","0220777471-exa-3020622231-mple","4443","[66,34,22,44,67]","51","41","[""#FF4100"",""#38A600"",""#6F9CA4"",""#005BA8"",""#DA7100""]","[""red"",""green"",""grey"",""blue"",""orange""]","learning","[0,0.3333333333333333,0.3333333333333333,0,0.3333333333333333]"
