sub,NTrials,iTrial,correct_response,response,bars1,bars2,bars3,bars4,bars5,weights1,weights2,weights3,weights4,weights5,condition,RT
5,100,1,76.0,35.0,27.0,80.0,59.0,89.0,19.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,1,12611.694999999992
5,100,2,39.0,75.0,62.0,61.0,26.0,30.0,54.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,1,2336.5800000000017
5,100,3,77.66666666666666,57.0,98.0,80.0,81.0,72.0,10.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,1,1635.1250000000146
5,100,4,84.66666666666666,86.0,96.0,75.0,99.0,80.0,54.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,1,892.815000000017
5,100,5,36.0,32.0,18.0,67.0,24.0,17.0,71.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,1,1229.1649999999934
5,100,6,88.33333333333331,16.0,15.0,70.0,100.0,95.0,18.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,1,1057.5650000000023
5,100,7,68.33333333333333,49.0,48.0,95.0,29.0,81.0,45.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,1,1334.444999999978
5,100,8,48.0,68.0,84.0,5.0,51.0,88.0,91.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,1,1039.3899999999994
5,100,9,34.0,56.0,62.0,28.0,27.0,47.0,54.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,1,1211.4300000000076
5,100,10,45.0,47.0,66.0,95.0,12.0,28.0,98.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,1,1026.9850000000297
5,100,11,42.0,49.0,72.0,48.0,33.0,45.0,52.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,1,1059.854999999996
5,100,12,30.33333333333333,57.0,23.0,1.0,80.0,10.0,17.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,1,2181.89999999998
5,100,13,53.66666666666666,63.0,97.0,43.0,39.0,79.0,38.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,1,1838.4500000000266
5,100,14,63.33333333333333,51.0,71.0,61.0,90.0,39.0,68.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,1,766.6349999999803
5,100,15,18.33333333333333,38.0,46.0,29.0,2.0,24.0,41.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,1,1427.2199999999718
5,100,16,54.0,28.0,32.0,62.0,33.0,67.0,93.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,1,1417.4850000000154
5,100,17,37.0,28.0,6.0,65.0,8.0,38.0,62.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,1,1296.2600000000093
5,100,18,48.0,38.0,54.0,27.0,23.0,94.0,50.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,1,1191.5050000000047
5,100,19,34.666666666666664,52.0,85.0,16.0,75.0,13.0,20.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,1,1519.0049999999756
5,100,20,76.33333333333333,34.0,38.0,80.0,64.0,85.0,6.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,1,3263.8499999999767
5,100,21,52.66666666666666,53.0,95.0,45.0,74.0,39.0,49.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,1,1237.0950000000012
