"rt","url","experiment_phase","trial_type","trial_index","time_elapsed","internal_node_id","experiment_name","workerId","assignmentId","hitId","experiment_start_time","experiment_end_time","total_time","ip_address","version_date","anon_id","demo_mode","completion_code","page_rt","gem_values","response","correct_answer","gem_colors","gem_color_names","phase","gem_weights"
"33005","src/html/instructions.html","instructions","render-mustache-template","0","33166","0.0-0.0","wizard_gems","","","","2019-08-14T12:51:37Z","2019-08-14T13:01:12Z","575245","108.30.189.191","2019-08-10","1cdzsxek92mz66k","false","3249289951-exa-8591864922-mple","","","","","","","",""
"2558","","","wizard-gem-trial","1","38247","0.0-1.0","wizard_gems","","","","2019-08-14T12:51:37Z","2019-08-14T13:01:12Z","575245","108.30.189.191","2019-08-10","1cdzsxek92mz66k","false","3249289951-exa-8591864922-mple","4562","[50,52,76,75,35]","68","54.33333333333333","[""#38A600"",""#6F9CA4"",""#005BA8"",""#DA7100"",""#FF4100""]","[""green"",""grey"",""blue"",""orange"",""red""]","learning","[0,0.3333333333333333,0.3333333333333333,0,0.3333333333333333]"
"4174","","","wizard-gem-trial","2","44936","0.0-2.0","wizard_gems","","","","2019-08-14T12:51:37Z","2019-08-14T13:01:12Z","575245","108.30.189.191","2019-08-10","1cdzsxek92mz66k","false","3249289951-exa-8591864922-mple","6175","[63,47,27,91,71]","74","48.33333333333333","[""#38A600"",""#6F9CA4"",""#005BA8"",""#DA7100"",""#FF4100""]","[""green"",""grey"",""blue"",""orange"",""red""]","learning","[0,0.3333333333333333,0.3333333333333333,0,0.3333333333333333]"
"3055","","","wizard-gem-trial","3","50503","0.0-3.0","wizard_gems","","","","2019-08-14T12:51:37Z","2019-08-14T13:01:12Z","575245","108.30.189.191","2019-08-10","1cdzsxek92mz66k","false","3249289951-exa-8591864922-mple","5056","[90,44,0,38,87]","76","43.666666666666664","[""#38A600"",""#6F9CA4"",""#005BA8"",""#DA7100"",""#FF4100""]","[""green"",""grey"",""blue"",""orange"",""red""]","learning","[0,0.3333333333333333,0.3333333333333333,0,0.3333333333333333]"
"1376","","","wizard-gem-trial","4","54400","0.0-4.0","wizard_gems","","","","2019-08-14T12:51:37Z","2019-08-14T13:01:12Z","575245","108.30.189.191","2019-08-10","1cdzsxek92mz66k","false","3249289951-exa-8591864922-mple","3378","[77,59,54,87,5]","42","39.33333333333333","[""#38A600"",""#6F9CA4"",""#005BA8"",""#DA7100"",""#FF4100""]","[""green"",""grey"",""blue"",""orange"",""red""]","learning","[0,0.3333333333333333,0.3333333333333333,0,0.3333333333333333]"
"1081","","","wizard-gem-trial","5","57993","0.0-5.0","wizard_gems","","","","2019-08-14T12:51:37Z","2019-08-14T13:01:12Z","575245","108.30.189.191","2019-08-10","1cdzsxek92mz66k","false","3249289951-exa-8591864922-mple","3082","[77,9,56,93,8]","42","24.333333333333332","[""#38A600"",""#6F9CA4"",""#005BA8"",""#DA7100"",""#FF4100""]","[""green"",""grey"",""blue"",""orange"",""red""]","learning","[0,0.3333333333333333,0.3333333333333333,0,0.3333333333333333]"
"1753","","","wizard-gem-trial","6","62257","0.0-6.0","wizard_gems","","","","2019-08-14T12:51:37Z","2019-08-14T13:01:12Z","575245","108.30.189.191","2019-08-10","1cdzsxek92mz66k","false","3249289951-exa-8591864922-mple","3754","[70,73,32,73,95]","93","66.66666666666666","[""#38A600"",""#6F9CA4"",""#005BA8"",""#DA7100"",""#FF4100""]","[""green"",""grey"",""blue"",""orange"",""red""]","learning","[0,0.3333333333333333,0.3333333333333333,0,0.3333333333333333]"
"2528","","","wizard-gem-trial","7","67296","0.0-7.0","wizard_gems","","","","2019-08-14T12:51:37Z","2019-08-14T13:01:12Z","575245","108.30.189.191","2019-08-10","1cdzsxek92mz66k","false","3249289951-exa-8591864922-mple","4529","[45,81,53,8,99]","100","77.66666666666666","[""#38A600"",""#6F9CA4"",""#005BA8"",""#DA7100"",""#FF4100""]","[""green"",""grey"",""blue"",""orange"",""red""]","learning","[0,0.3333333333333333,0.3333333333333333,0,0.3333333333333333]"
"2736","","","wizard-gem-trial","8","72542","0.0-8.0","wizard_gems","","","","2019-08-14T12:51:37Z","2019-08-14T13:01:12Z","575245","108.30.189.191","2019-08-10","1cdzsxek92mz66k","false","3249289951-exa-8591864922-mple","4737","[74,87,15,96,82]","65","61.33333333333333","[""#38A600"",""#6F9CA4"",""#005BA8"",""#DA7100"",""#FF4100""]","[""green"",""grey"",""blue"",""orange"",""red""]","learning","[0,0.3333333333333333,0.3333333333333333,0,0.3333333333333333]"
"2416","","","wizard-gem-trial","9","77471","0.0-9.0","wizard_gems","","","","2019-08-14T12:51:37Z","2019-08-14T13:01:12Z","575245","108.30.189.191","2019-08-10","1cdzsxek92mz66k","false","3249289951-exa-8591864922-mple","4417","[34,89,54,30,89]","76","77.33333333333333","[""#38A600"",""#6F9CA4"",""#005BA8"",""#DA7100"",""#FF4100""]","[""green"",""grey"",""blue"",""orange"",""red""]","learning","[0,0.3333333333333333,0.3333333333333333,0,0.3333333333333333]"
"2150","","","wizard-gem-trial","10","82129","0.0-10.0","wizard_gems","","","","2019-08-14T12:51:37Z","2019-08-14T13:01:12Z","575245","108.30.189.191","2019-08-10","1cdzsxek92mz66k","false","3249289951-exa-8591864922-mple","4151","[22,74,8,28,78]","56","53.33333333333333","[""#38A600"",""#6F9CA4"",""#005BA8"",""#DA7100"",""#FF4100""]","[""green"",""grey"",""blue"",""orange"",""red""]","learning","[0,0.3333333333333333,0.3333333333333333,0,0.3333333333333333]"
"1769","","","wizard-gem-trial","11","86407","0.0-11.0","wizard_gems","","","","2019-08-14T12:51:37Z","2019-08-14T13:01:12Z","575245","108.30.189.191","2019-08-10","1cdzsxek92mz66k","false","3249289951-exa-8591864922-mple","3769","[69,95,35,32,23]","29","50.99999999999999","[""#38A600"",""#6F9CA4"",""#005BA8"",""#DA7100"",""#FF4100""]","[""green"",""grey"",""blue"",""orange"",""red""]","learning","[0,0.3333333333333333,0.3333333333333333,0,0.3333333333333333]"
"2487","","","wizard-gem-trial","12","91406","0.0-12.0","wizard_gems","","","","2019-08-14T12:51:37Z","2019-08-14T13:01:12Z","575245","108.30.189.191","2019-08-10","1cdzsxek92mz66k","false","3249289951-exa-8591864922-mple","4488","[42,86,54,44,73]","84","71","[""#38A600"",""#6F9CA4"",""#005BA8"",""#DA7100"",""#FF4100""]","[""green"",""grey"",""blue"",""orange"",""red""]","learning","[0,0.3333333333333333,0.3333333333333333,0,0.3333333333333333]"
"2063","","","wizard-gem-trial","13","95981","0.0-13.0","wizard_gems","","","","2019-08-14T12:51:37Z","2019-08-14T13:01:12Z","575245","108.30.189.191","2019-08-10","1cdzsxek92mz66k","false","3249289951-exa-8591864922-mple","4063","[84,18,84,7,69]","61","57","[""#38A600"",""#6F9CA4"",""#005BA8"",""#DA7100"",""#FF4100""]","[""green"",""grey"",""blue"",""orange"",""red""]","learning","[0,0.3333333333333333,0.3333333333333333,0,0.3333333333333333]"
"3114","","","wizard-gem-trial","14","101609","0.0-14.0","wizard_gems","","","","2019-08-14T12:51:37Z","2019-08-14T13:01:12Z","575245","108.30.189.191","2019-08-10","1cdzsxek92mz66k","false","3249289951-exa-8591864922-mple","5116","[43,34,49,54,56]","63","46.33333333333333","[""#38A600"",""#6F9CA4"",""#005BA8"",""#DA7100"",""#FF4100""]","[""green"",""grey"",""blue"",""orange"",""red""]","learning","[0,0.3333333333333333,0.3333333333333333,0,0.3333333333333333]"
"1959","","","wizard-gem-trial","15","106078","0.0-15.0","wizard_gems","","","","2019-08-14T12:51:37Z","2019-08-14T13:01:12Z","575245","108.30.189.191","2019-08-10","1cdzsxek92mz66k","false","3249289951-exa-8591864922-mple","3960","[74,8,94,58,39]","57","47","[""#38A600"",""#6F9CA4"",""#005BA8"",""#DA7100"",""#FF4100""]","[""green"",""grey"",""blue"",""orange"",""red""]","learning","[0,0.3333333333333333,0.3333333333333333,0,0.3333333333333333]"
"1927","","","wizard-gem-trial","16","110516","0.0-16.0","wizard_gems","","","","2019-08-14T12:51:37Z","2019-08-14T13:01:12Z","575245","108.30.189.191","2019-08-10","1cdzsxek92mz66k","false","3249289951-exa-8591864922-mple","3927","[71,99,35,47,61]","46","65","[""#38A600"",""#6F9CA4"",""#005BA8"",""#DA7100"",""#FF4100""]","[""green"",""grey"",""blue"",""orange"",""red""]","learning","[0,0.3333333333333333,0.3333333333333333,0,0.3333333333333333]"
"1708","","","wizard-gem-trial","17","114733","0.0-17.0","wizard_gems","","","","2019-08-14T12:51:37Z","2019-08-14T13:01:12Z","575245","108.30.189.191","2019-08-10","1cdzsxek92mz66k","false","3249289951-exa-8591864922-mple","3708","[29,5,8,75,77]","61","29.999999999999996","[""#38A600"",""#6F9CA4"",""#005BA8"",""#DA7100"",""#FF4100""]","[""green"",""grey"",""blue"",""orange"",""red""]","learning","[0,0.3333333333333333,0.3333333333333333,0,0.3333333333333333]"
"2528","","","wizard-gem-trial","18","119771","0.0-18.0","wizard_gems","","","","2019-08-14T12:51:37Z","2019-08-14T13:01:12Z","575245","108.30.189.191","2019-08-10","1cdzsxek92mz66k","false","3249289951-exa-8591864922-mple","4529","[68,46,16,62,71]","54","44.33333333333333","[""#38A600"",""#6F9CA4"",""#005BA8"",""#DA7100"",""#FF4100""]","[""green"",""grey"",""blue"",""orange"",""red""]","learning","[0,0.3333333333333333,0.3333333333333333,0,0.3333333333333333]"
