"rt","url","experiment_phase","trial_type","trial_index","time_elapsed","internal_node_id","experiment_name","workerId","assignmentId","hitId","experiment_start_time","experiment_end_time","total_time","ip_address","version_date","anon_id","demo_mode","completion_code","page_rt","gem_values","response","correct_answer","gem_colors","gem_color_names","phase","gem_weights"
"5992","src/html/instructions.html","instructions","render-mustache-template","0","6093","0.0-0.0","wizard_gems","","","","2019-08-14T20:56:17Z","2019-08-14T21:05:41Z","563641","37.171.205.9","2019-08-10","w866ebf1p9o6598","false","2928854768-exa-8303994053-mple","","","","","","","",""
"6343.9999999827705","","","wizard-gem-trial","1","14984","0.0-1.0","wizard_gems","","","","2019-08-14T20:56:17Z","2019-08-14T21:05:41Z","563641","37.171.205.9","2019-08-10","w866ebf1p9o6598","false","2928854768-exa-8303994053-mple","8348.100000002887","[25,56,15,21,58]","51","20.333333333333332","[""#005BA8"",""#38A600"",""#FF4100"",""#6F9CA4"",""#DA7100""]","[""blue"",""green"",""red"",""grey"",""orange""]","learning","[0.3333333333333333,0,0.3333333333333333,0.3333333333333333,0]"
"1944.1000000224449","","","wizard-gem-trial","2","19460","0.0-2.0","wizard_gems","","","","2019-08-14T20:56:17Z","2019-08-14T21:05:41Z","563641","37.171.205.9","2019-08-10","w866ebf1p9o6598","false","2928854768-exa-8303994053-mple","3945.6000000354834","[52,85,57,81,68]","70","63.33333333333333","[""#005BA8"",""#38A600"",""#FF4100"",""#6F9CA4"",""#DA7100""]","[""blue"",""green"",""red"",""grey"",""orange""]","learning","[0.3333333333333333,0,0.3333333333333333,0.3333333333333333,0]"
"2222.200000018347","","","wizard-gem-trial","3","24214","0.0-3.0","wizard_gems","","","","2019-08-14T20:56:17Z","2019-08-14T21:05:41Z","563641","37.171.205.9","2019-08-10","w866ebf1p9o6598","false","2928854768-exa-8303994053-mple","4224.600000015926","[89,54,48,31,91]","77","56","[""#005BA8"",""#38A600"",""#FF4100"",""#6F9CA4"",""#DA7100""]","[""blue"",""green"",""red"",""grey"",""orange""]","learning","[0.3333333333333333,0,0.3333333333333333,0.3333333333333333,0]"
"2670.799999963492","","","wizard-gem-trial","4","29407","0.0-4.0","wizard_gems","","","","2019-08-14T20:56:17Z","2019-08-14T21:05:41Z","563641","37.171.205.9","2019-08-10","w866ebf1p9o6598","false","2928854768-exa-8303994053-mple","4671.999999962281","[56,61,45,9,74]","41","36.666666666666664","[""#005BA8"",""#38A600"",""#FF4100"",""#6F9CA4"",""#DA7100""]","[""blue"",""green"",""red"",""grey"",""orange""]","learning","[0.3333333333333333,0,0.3333333333333333,0.3333333333333333,0]"
"2745.8999999798834","","","wizard-gem-trial","5","34682","0.0-5.0","wizard_gems","","","","2019-08-14T20:56:17Z","2019-08-14T21:05:41Z","563641","37.171.205.9","2019-08-10","w866ebf1p9o6598","false","2928854768-exa-8303994053-mple","4746.999999973923","[39,77,94,47,46]","66","59.99999999999999","[""#005BA8"",""#38A600"",""#FF4100"",""#6F9CA4"",""#DA7100""]","[""blue"",""green"",""red"",""grey"",""orange""]","learning","[0.3333333333333333,0,0.3333333333333333,0.3333333333333333,0]"
"3147.5000000209548","","","wizard-gem-trial","6","40348","0.0-6.0","wizard_gems","","","","2019-08-14T20:56:17Z","2019-08-14T21:05:41Z","563641","37.171.205.9","2019-08-10","w866ebf1p9o6598","false","2928854768-exa-8303994053-mple","5149.399999994785","[30,36,40,81,76]","39","50.33333333333333","[""#005BA8"",""#38A600"",""#FF4100"",""#6F9CA4"",""#DA7100""]","[""blue"",""green"",""red"",""grey"",""orange""]","learning","[0.3333333333333333,0,0.3333333333333333,0.3333333333333333,0]"
"1978.2000000122935","","","wizard-gem-trial","7","44859","0.0-7.0","wizard_gems","","","","2019-08-14T20:56:17Z","2019-08-14T21:05:41Z","563641","37.171.205.9","2019-08-10","w866ebf1p9o6598","false","2928854768-exa-8303994053-mple","3979.6000000205822","[82,70,40,45,42]","42","55.666666666666664","[""#005BA8"",""#38A600"",""#FF4100"",""#6F9CA4"",""#DA7100""]","[""blue"",""green"",""red"",""grey"",""orange""]","learning","[0.3333333333333333,0,0.3333333333333333,0.3333333333333333,0]"
"2669.2000000039116","","","wizard-gem-trial","8","50061","0.0-8.0","wizard_gems","","","","2019-08-14T20:56:17Z","2019-08-14T21:05:41Z","563641","37.171.205.9","2019-08-10","w866ebf1p9o6598","false","2928854768-exa-8303994053-mple","4670.799999963492","[36,87,92,94,89]","77","74","[""#005BA8"",""#38A600"",""#FF4100"",""#6F9CA4"",""#DA7100""]","[""blue"",""green"",""red"",""grey"",""orange""]","learning","[0.3333333333333333,0,0.3333333333333333,0.3333333333333333,0]"
"3404.6000000089407","","","wizard-gem-trial","9","55997","0.0-9.0","wizard_gems","","","","2019-08-14T20:56:17Z","2019-08-14T21:05:41Z","563641","37.171.205.9","2019-08-10","w866ebf1p9o6598","false","2928854768-exa-8303994053-mple","5406.200000026729","[8,44,92,85,93]","73","61.66666666666666","[""#005BA8"",""#38A600"",""#FF4100"",""#6F9CA4"",""#DA7100""]","[""blue"",""green"",""red"",""grey"",""orange""]","learning","[0.3333333333333333,0,0.3333333333333333,0.3333333333333333,0]"
"2492.2999999835156","","","wizard-gem-trial","10","61022","0.0-10.0","wizard_gems","","","","2019-08-14T20:56:17Z","2019-08-14T21:05:41Z","563641","37.171.205.9","2019-08-10","w866ebf1p9o6598","false","2928854768-exa-8303994053-mple","4494.699999981094","[58,48,80,78,69]","60","72","[""#005BA8"",""#38A600"",""#FF4100"",""#6F9CA4"",""#DA7100""]","[""blue"",""green"",""red"",""grey"",""orange""]","learning","[0.3333333333333333,0,0.3333333333333333,0.3333333333333333,0]"
